,protein,layer,value
74205,DBH,IVb,
74206,NET,IVb,
74207,DBH,IVc,
74208,NET,IVc,
74209,DBH,IVc,
74210,NET,IVc,
74211,DBH,V,
74212,NET,V,
74213,DBH,VI,
74214,NET,VI,
74215,DBH,I,
74216,NET,I,
74217,DBH,II,
74218,NET,II,
74219,DBH,III,
74220,NET,III,
74221,DBH,IVa,
74222,NET,IVa,
74223,DBH,IVb,
74224,NET,IVb,
74225,DBH,IVc,
74226,NET,IVc,
74227,DBH,IVc,
74228,NET,IVc,
74229,DBH,V,
74230,NET,V,
74231,DBH,VI,
74232,NET,VI,
74233,DBH,I,
74234,NET,I,
74235,DBH,II,
74236,NET,II,
74237,DBH,III,
74238,NET,III,
74239,DBH,IVa,
74240,NET,IVa,
74241,DBH,IVb,
74242,NET,IVb,
74243,DBH,IVc,
74244,NET,IVc,
74245,DBH,IVc,
74246,NET,IVc,
74247,DBH,V,
74248,NET,V,
74249,DBH,VI,
74250,NET,VI,
74251,DBH,I,
74252,NET,I,
74253,DBH,II,
74254,NET,II,
74255,DBH,III,
74256,NET,III,
74257,DBH,IVa,
74258,NET,IVa,
74259,DBH,IVb,
74260,NET,IVb,
74261,DBH,IVc,
74262,NET,IVc,
74263,DBH,IVc,
74264,NET,IVc,
74265,DBH,V,
74266,NET,V,
74267,DBH,VI,
74268,NET,VI,
74269,DBH,I,
74270,NET,I,
74271,DBH,II,
74272,NET,II,
74273,DBH,III,
74274,NET,III,
74275,DBH,IVa,
74276,NET,IVa,
74277,DBH,IVb,
74278,NET,IVb,
74279,DBH,IVc,
74280,NET,IVc,
74281,DBH,IVc,
74282,NET,IVc,
74283,DBH,V,
74284,NET,V,
74285,DBH,VI,
74286,NET,VI,
74287,DBH,I,
74288,NET,I,
74289,DBH,II,
74290,NET,II,
74291,DBH,III,
74292,NET,III,
74293,DBH,IVa,
74294,NET,IVa,
74295,DBH,IVb,
74296,NET,IVb,
74297,DBH,IVc,
74298,NET,IVc,
74299,DBH,IVc,
74300,NET,IVc,
74301,DBH,V,
74302,NET,V,
74303,DBH,VI,
74304,NET,VI,
74305,DBH,I,
74306,NET,I,
74307,DBH,II,
74308,NET,II,
74309,DBH,III,
74310,NET,III,
74311,DBH,IVa,
74312,NET,IVa,
74313,DBH,IVb,
74314,NET,IVb,
74315,DBH,IVc,
74316,NET,IVc,
74317,DBH,IVc,
74318,NET,IVc,
74319,DBH,V,
74320,NET,V,
74321,DBH,VI,
74322,NET,VI,
74323,DBH,I,
74324,NET,I,
74325,DBH,II,
74326,NET,II,
74327,DBH,III,
74328,NET,III,
74329,DBH,IVa,
74330,NET,IVa,
74331,DBH,IVb,
74332,NET,IVb,
74333,DBH,IVc,
74334,NET,IVc,
74335,DBH,IVc,
74336,NET,IVc,
74337,DBH,V,
74338,NET,V,
74339,DBH,VI,
74340,NET,VI,
74341,DBH,I,
74342,NET,I,
74343,DBH,II,
74344,NET,II,
74345,DBH,III,
74346,NET,III,
74347,DBH,IVa,
74348,NET,IVa,
74349,DBH,IVb,
74350,NET,IVb,
74351,DBH,IVc,
74352,NET,IVc,
74353,DBH,IVc,
74354,NET,IVc,
74355,DBH,V,
74356,NET,V,
74357,DBH,VI,
74358,NET,VI,
74359,DBH,I,
74360,NET,I,
74361,DBH,II,
74362,NET,II,
74363,DBH,III,
74364,NET,III,
74365,DBH,IVa,
74366,NET,IVa,
74367,DBH,IVb,
74368,NET,IVb,
74369,DBH,IVc,
74370,NET,IVc,
74371,DBH,IVc,
74372,NET,IVc,
74373,DBH,V,
74374,NET,V,
74375,DBH,VI,
74376,NET,VI,
74377,DBH,I,
74378,NET,I,
74379,DBH,II,
74380,NET,II,
74381,DBH,III,
74382,NET,III,
74383,DBH,IVa,
74384,NET,IVa,
74385,DBH,IVb,
74386,NET,IVb,
74387,DBH,IVc,
74388,NET,IVc,
74389,DBH,IVc,
74390,NET,IVc,
74391,DBH,V,
74392,NET,V,
74393,DBH,VI,
74394,NET,VI,
74395,DBH,I,
74396,NET,I,
74397,DBH,II,
74398,NET,II,
74399,DBH,III,
74400,NET,III,
74401,DBH,IVa,
74402,NET,IVa,
74403,DBH,IVb,
74404,NET,IVb,
74405,DBH,IVc,
74406,NET,IVc,
74407,DBH,IVc,
74408,NET,IVc,
74409,DBH,V,
74410,NET,V,
74411,DBH,VI,
74412,NET,VI,
74413,DBH,I,
74414,NET,I,
74415,DBH,II,
74416,NET,II,
74417,DBH,III,
74418,NET,III,
74419,DBH,IVa,
74420,NET,IVa,
74421,DBH,IVb,
74422,NET,IVb,
74423,DBH,IVc,
74424,NET,IVc,
74425,DBH,IVc,
74426,NET,IVc,
74427,DBH,V,
74428,NET,V,
74429,DBH,VI,
74430,NET,VI,
74431,DBH,I,
74432,NET,I,
74433,DBH,II,
74434,NET,II,
74435,DBH,III,
74436,NET,III,
74437,DBH,IVa,
74438,NET,IVa,
74439,DBH,IVb,
74440,NET,IVb,
74441,DBH,IVc,
74442,NET,IVc,
74443,DBH,IVc,
74444,NET,IVc,
74445,DBH,V,
74446,NET,V,
74447,DBH,VI,
74448,NET,VI,
74449,DBH,I,
74450,NET,I,
74451,DBH,II,
74452,NET,II,
74453,DBH,III,
74454,NET,III,
74455,DBH,IVa,
74456,NET,IVa,
74457,DBH,IVb,
74458,NET,IVb,
74459,DBH,IVc,
74460,NET,IVc,
74461,DBH,IVc,
74462,NET,IVc,
74463,DBH,V,
74464,NET,V,
74465,DBH,VI,
74466,NET,VI,
74467,DBH,I,
74468,NET,I,
74469,DBH,II,
74470,NET,II,
74471,DBH,III,
74472,NET,III,
74473,DBH,IVa,
74474,NET,IVa,
74475,DBH,IVb,
74476,NET,IVb,
74477,DBH,IVc,
74478,NET,IVc,
74479,DBH,IVc,
74480,NET,IVc,
74481,DBH,V,
74482,NET,V,
74483,DBH,VI,
74484,NET,VI,
74485,DBH,I,
74486,NET,I,
74487,DBH,II,
74488,NET,II,
74489,DBH,III,
74490,NET,III,
74491,DBH,IVa,
74492,NET,IVa,
74493,DBH,IVb,
74494,NET,IVb,
74495,DBH,IVc,
74496,NET,IVc,
74497,DBH,IVc,
74498,NET,IVc,
74499,DBH,V,
74500,NET,V,
74501,DBH,VI,
74502,NET,VI,
74503,DBH,I,
74504,NET,I,
74505,DBH,II,
74506,NET,II,
74507,DBH,III,
74508,NET,III,
74509,DBH,IVa,
74510,NET,IVa,
74511,DBH,IVb,
74512,NET,IVb,
74513,DBH,IVc,
74514,NET,IVc,
74515,DBH,IVc,
74516,NET,IVc,
74517,DBH,V,
74518,NET,V,
74519,DBH,VI,
74520,NET,VI,
74521,DBH,I,
74522,NET,I,
74523,DBH,II,
74524,NET,II,
74525,DBH,III,
74526,NET,III,
74527,DBH,IVa,
74528,NET,IVa,
74529,DBH,IVb,
74530,NET,IVb,
74531,DBH,IVc,
74532,NET,IVc,
74533,DBH,IVc,
74534,NET,IVc,
74535,DBH,V,
74536,NET,V,
74537,DBH,VI,
74538,NET,VI,
74539,DBH,I,
74540,NET,I,
74541,DBH,II,
74542,NET,II,
74543,DBH,III,
74544,NET,III,
74545,DBH,IVa,
74546,NET,IVa,
74547,DBH,IVb,
74548,NET,IVb,
74549,DBH,IVc,
74550,NET,IVc,
74551,DBH,IVc,
74552,NET,IVc,
74553,DBH,V,
74554,NET,V,
74555,DBH,VI,
74556,NET,VI,
74557,DBH,I,
74558,NET,I,
74559,DBH,II,
74560,NET,II,
74561,DBH,III,
74562,NET,III,
74563,DBH,IVa,
74564,NET,IVa,
74565,DBH,IVb,
74566,NET,IVb,
74567,DBH,IVc,
74568,NET,IVc,
74569,DBH,IVc,
74570,NET,IVc,
74571,DBH,V,
74572,NET,V,
74573,DBH,VI,
74574,NET,VI,
74575,DBH,I,
74576,NET,I,
74577,DBH,II,
74578,NET,II,
74579,DBH,III,
74580,NET,III,
74581,DBH,IVa,
74582,NET,IVa,
74583,DBH,IVb,
74584,NET,IVb,
74585,DBH,IVc,
74586,NET,IVc,
74587,DBH,IVc,
74588,NET,IVc,
74589,DBH,V,
74590,NET,V,
74591,DBH,VI,
74592,NET,VI,
74593,DBH,I,
74594,NET,I,
74595,DBH,II,
74596,NET,II,
74597,DBH,III,
74598,NET,III,
74599,DBH,IVa,
74600,NET,IVa,
74601,DBH,IVb,
74602,NET,IVb,
74603,DBH,IVc,
74604,NET,IVc,
74605,DBH,IVc,
74606,NET,IVc,
74607,DBH,V,
74608,NET,V,
74609,DBH,VI,
74610,NET,VI,
74611,DBH,I,
74612,NET,I,
74613,DBH,II,
74614,NET,II,
74615,DBH,III,
74616,NET,III,
74617,DBH,IVa,
74618,NET,IVa,
74619,DBH,IVb,
74620,NET,IVb,
74621,DBH,IVc,
74622,NET,IVc,
74623,DBH,IVc,
74624,NET,IVc,
74625,DBH,V,
74626,NET,V,
74627,DBH,VI,
74628,NET,VI,
74629,DBH,I,
74630,NET,I,
74631,DBH,II,
74632,NET,II,
74633,DBH,III,
74634,NET,III,
74635,DBH,IVa,
74636,NET,IVa,
74637,DBH,IVb,
74638,NET,IVb,
74639,DBH,IVc,
74640,NET,IVc,
74641,DBH,IVc,
74642,NET,IVc,
74643,DBH,V,
74644,NET,V,
74645,DBH,VI,
74646,NET,VI,
74647,DBH,I,
74648,NET,I,
74649,DBH,II,
74650,NET,II,
74651,DBH,III,
74652,NET,III,
74653,DBH,IVa,
74654,NET,IVa,
74655,DBH,IVb,
74656,NET,IVb,
74657,DBH,IVc,
74658,NET,IVc,
74659,DBH,IVc,
74660,NET,IVc,
74661,DBH,V,
74662,NET,V,
74663,DBH,VI,
74664,NET,VI,
74665,DBH,I,
74666,NET,I,
74667,DBH,II,
74668,NET,II,
74669,DBH,III,
74670,NET,III,
74671,DBH,IVa,
74672,NET,IVa,
74673,DBH,IVb,
74674,NET,IVb,
74675,DBH,IVc,
74676,NET,IVc,
74677,DBH,IVc,
74678,NET,IVc,
74679,DBH,V,
74680,NET,V,
74681,DBH,VI,
74682,NET,VI,
74683,DBH,I,
74684,NET,I,
74685,DBH,II,
74686,NET,II,
74687,DBH,III,
74688,NET,III,
74689,DBH,IVa,
74690,NET,IVa,
74691,DBH,IVb,
74692,NET,IVb,
74693,DBH,IVc,
74694,NET,IVc,
74695,DBH,IVc,
74696,NET,IVc,
74697,DBH,V,
74698,NET,V,
74699,DBH,VI,
74700,NET,VI,
74701,DBH,I,
74702,NET,I,
74703,DBH,II,
74704,NET,II,
74705,DBH,III,
74706,NET,III,
74707,DBH,IVa,
74708,NET,IVa,
74709,DBH,IVb,
74710,NET,IVb,
74711,DBH,IVc,
74712,NET,IVc,
74713,DBH,IVc,
74714,NET,IVc,
74715,DBH,V,
74716,NET,V,
74717,DBH,VI,
74718,NET,VI,
74719,DBH,I,
74720,NET,I,
74721,DBH,II,
74722,NET,II,
74723,DBH,III,
74724,NET,III,
74725,DBH,IVa,
74726,NET,IVa,
74727,DBH,IVb,
74728,NET,IVb,
74729,DBH,IVc,
74730,NET,IVc,
74731,DBH,IVc,
74732,NET,IVc,
74733,DBH,V,
74734,NET,V,
74735,DBH,VI,
74736,NET,VI,
74737,DBH,I,
74738,NET,I,
74739,DBH,II,
74740,NET,II,
74741,DBH,III,
74742,NET,III,
74743,DBH,IVa,
74744,NET,IVa,
74745,DBH,IVb,
74746,NET,IVb,
74747,DBH,IVc,
74748,NET,IVc,
74749,DBH,IVc,
74750,NET,IVc,
74751,DBH,V,
74752,NET,V,
74753,DBH,VI,
74754,NET,VI,
74755,DBH,I,
74756,NET,I,
74757,DBH,II,
74758,NET,II,
74759,DBH,III,
74760,NET,III,
74761,DBH,IVa,
74762,NET,IVa,
74763,DBH,IVb,
74764,NET,IVb,
74765,DBH,IVc,
74766,NET,IVc,
74767,DBH,IVc,
74768,NET,IVc,
74769,DBH,V,
74770,NET,V,
74771,DBH,VI,
74772,NET,VI,
74773,DBH,I,
74774,NET,I,
74775,DBH,II,
74776,NET,II,
74777,DBH,III,
74778,NET,III,
74779,DBH,IVa,
74780,NET,IVa,
74781,DBH,IVb,
74782,NET,IVb,
74783,DBH,IVc,
74784,NET,IVc,
74785,DBH,IVc,
74786,NET,IVc,
74787,DBH,V,
74788,NET,V,
74789,DBH,VI,
74790,NET,VI,
74791,DBH,I,
74792,NET,I,
74793,DBH,II,
74794,NET,II,
74795,DBH,III,
74796,NET,III,
74797,DBH,IVa,
74798,NET,IVa,
74799,DBH,IVb,
74800,NET,IVb,
74801,DBH,IVc,
74802,NET,IVc,
74803,DBH,IVc,
74804,NET,IVc,
74805,DBH,V,
74806,NET,V,
74807,DBH,VI,
74808,NET,VI,
74809,DBH,I,
74810,NET,I,
74811,DBH,II,
74812,NET,II,
74813,DBH,III,
74814,NET,III,
74815,DBH,IVa,
74816,NET,IVa,
74817,DBH,IVb,
74818,NET,IVb,
74819,DBH,IVc,
74820,NET,IVc,
74821,DBH,IVc,
74822,NET,IVc,
74823,DBH,V,
74824,NET,V,
74825,DBH,VI,
74826,NET,VI,
74827,DBH,I,
74828,NET,I,
74829,DBH,II,
74830,NET,II,
74831,DBH,III,
74832,NET,III,
74833,DBH,IVa,
74834,NET,IVa,
74835,DBH,IVb,
74836,NET,IVb,
74837,DBH,IVc,
74838,NET,IVc,
74839,DBH,IVc,
74840,NET,IVc,
74841,DBH,V,
74842,NET,V,
74843,DBH,VI,
74844,NET,VI,
74845,DBH,I,
74846,NET,I,
74847,DBH,II,
74848,NET,II,
74849,DBH,III,
74850,NET,III,
74851,DBH,IVa,
74852,NET,IVa,
74853,DBH,IVb,
74854,NET,IVb,
74855,DBH,IVc,
74856,NET,IVc,
74857,DBH,IVc,
74858,NET,IVc,
74859,DBH,V,
74860,NET,V,
74861,DBH,VI,
74862,NET,VI,
74863,DBH,I,
74864,NET,I,
74865,DBH,II,
74866,NET,II,
74867,DBH,III,
74868,NET,III,
74869,DBH,IVa,
74870,NET,IVa,
74871,DBH,IVb,
74872,NET,IVb,
74873,DBH,IVc,
74874,NET,IVc,
74875,DBH,IVc,
74876,NET,IVc,
74877,DBH,V,
74878,NET,V,
74879,DBH,VI,
74880,NET,VI,
74881,DBH,I,
74882,NET,I,
74883,DBH,II,
74884,NET,II,
74885,DBH,III,
74886,NET,III,
74887,DBH,IVa,
74888,NET,IVa,
74889,DBH,IVb,
74890,NET,IVb,
74891,DBH,IVc,
74892,NET,IVc,
74893,DBH,IVc,
74894,NET,IVc,
74895,DBH,V,
74896,NET,V,
74897,DBH,VI,
74898,NET,VI,
74899,DBH,I,
74900,NET,I,
74901,DBH,II,
74902,NET,II,
74903,DBH,III,
74904,NET,III,
74905,DBH,IVa,
74906,NET,IVa,
74907,DBH,IVb,
74908,NET,IVb,
74909,DBH,IVc,
74910,NET,IVc,
74911,DBH,IVc,
74912,NET,IVc,
74913,DBH,V,
74914,NET,V,
74915,DBH,VI,
74916,NET,VI,
74917,DBH,I,
74918,NET,I,
74919,DBH,II,
74920,NET,II,
74921,DBH,III,
74922,NET,III,
74923,DBH,IVa,
74924,NET,IVa,
74925,DBH,IVb,
74926,NET,IVb,
74927,DBH,IVc,
74928,NET,IVc,
74929,DBH,IVc,
74930,NET,IVc,
74931,DBH,V,
74932,NET,V,
74933,DBH,VI,
74934,NET,VI,
74935,DBH,I,
74936,NET,I,
74937,DBH,II,
74938,NET,II,
74939,DBH,III,
74940,NET,III,
74941,DBH,IVa,
74942,NET,IVa,
74943,DBH,IVb,
74944,NET,IVb,
74945,DBH,IVc,
74946,NET,IVc,
74947,DBH,IVc,
74948,NET,IVc,
74949,DBH,V,
74950,NET,V,
74951,DBH,VI,
74952,NET,VI,
74953,DBH,I,
74954,NET,I,
74955,DBH,II,
74956,NET,II,
74957,DBH,III,
74958,NET,III,
74959,DBH,IVa,
74960,NET,IVa,
74961,DBH,IVb,
74962,NET,IVb,
74963,DBH,IVc,
74964,NET,IVc,
74965,DBH,IVc,
74966,NET,IVc,
74967,DBH,V,
74968,NET,V,
74969,DBH,VI,
74970,NET,VI,
74971,DBH,I,
74972,NET,I,
74973,DBH,II,
74974,NET,II,
74975,DBH,III,
74976,NET,III,
74977,DBH,IVa,
74978,NET,IVa,
74979,DBH,IVb,
74980,NET,IVb,
74981,DBH,IVc,
74982,NET,IVc,
74983,DBH,IVc,
74984,NET,IVc,
74985,DBH,V,
74986,NET,V,
74987,DBH,VI,
74988,NET,VI,
74989,DBH,I,
74990,NET,I,
74991,DBH,II,
74992,NET,II,
74993,DBH,III,
74994,NET,III,
74995,DBH,IVa,
74996,NET,IVa,
74997,DBH,IVb,
74998,NET,IVb,
74999,DBH,IVc,
75000,NET,IVc,
75001,DBH,IVc,
75002,NET,IVc,
75003,DBH,V,
75004,NET,V,
75005,DBH,VI,
75006,NET,VI,
75007,DBH,I,
75008,NET,I,
75009,DBH,II,
75010,NET,II,
75011,DBH,III,
75012,NET,III,
75013,DBH,IVa,
75014,NET,IVa,
75015,DBH,IVb,
75016,NET,IVb,
75017,DBH,IVc,
75018,NET,IVc,
75019,DBH,IVc,
75020,NET,IVc,
75021,DBH,V,
75022,NET,V,
75023,DBH,VI,
75024,NET,VI,
75025,DBH,I,
75026,NET,I,
75027,DBH,II,
75028,NET,II,
75029,DBH,III,
75030,NET,III,
75031,DBH,IVa,
75032,NET,IVa,
75033,DBH,IVb,
75034,NET,IVb,
75035,DBH,IVc,
75036,NET,IVc,
75037,DBH,IVc,
75038,NET,IVc,
75039,DBH,V,
75040,NET,V,
75041,DBH,VI,
75042,NET,VI,
75043,DBH,I,
75044,NET,I,
75045,DBH,II,
75046,NET,II,
75047,DBH,III,
75048,NET,III,
75049,DBH,IVa,
75050,NET,IVa,
75051,DBH,IVb,
75052,NET,IVb,
75053,DBH,IVc,
75054,NET,IVc,
75055,DBH,IVc,
75056,NET,IVc,
75057,DBH,V,
75058,NET,V,
75059,DBH,VI,
75060,NET,VI,
75061,DBH,I,
75062,NET,I,
75063,DBH,II,
75064,NET,II,
75065,DBH,III,
75066,NET,III,
75067,DBH,IVa,
75068,NET,IVa,
75069,DBH,IVb,
75070,NET,IVb,
75071,DBH,IVc,
75072,NET,IVc,
75073,DBH,IVc,
75074,NET,IVc,
75075,DBH,V,
75076,NET,V,
75077,DBH,VI,
75078,NET,VI,
75079,DBH,I,
75080,NET,I,
75081,DBH,II,
75082,NET,II,
75083,DBH,III,
75084,NET,III,
75085,DBH,IVa,
75086,NET,IVa,
75087,DBH,IVb,
75088,NET,IVb,
75089,DBH,IVc,
75090,NET,IVc,
75091,DBH,IVc,
75092,NET,IVc,
75093,DBH,V,
75094,NET,V,
75095,DBH,VI,
75096,NET,VI,
75097,DBH,I,
75098,NET,I,
75099,DBH,II,
75100,NET,II,
75101,DBH,III,
75102,NET,III,
75103,DBH,IVa,
75104,NET,IVa,
75105,DBH,IVb,
75106,NET,IVb,
75107,DBH,IVc,
75108,NET,IVc,
75109,DBH,IVc,
75110,NET,IVc,
75111,DBH,V,
75112,NET,V,
75113,DBH,VI,
75114,NET,VI,
75115,DBH,I,
75116,NET,I,
75117,DBH,II,
75118,NET,II,
75119,DBH,III,
75120,NET,III,
75121,DBH,IVa,
75122,NET,IVa,
75123,DBH,IVb,
75124,NET,IVb,
75125,DBH,IVc,
75126,NET,IVc,
75127,DBH,IVc,
75128,NET,IVc,
75129,DBH,V,
75130,NET,V,
75131,DBH,VI,
75132,NET,VI,
75133,DBH,I,
75134,NET,I,
75135,DBH,II,
75136,NET,II,
75137,DBH,III,
75138,NET,III,
75139,DBH,IVa,
75140,NET,IVa,
75141,DBH,IVb,
75142,NET,IVb,
75143,DBH,IVc,
75144,NET,IVc,
75145,DBH,IVc,
75146,NET,IVc,
75147,DBH,V,
75148,NET,V,
75149,DBH,VI,
75150,NET,VI,
75151,DBH,I,
75152,NET,I,
75153,DBH,II,
75154,NET,II,
75155,DBH,III,
75156,NET,III,
75157,DBH,IVa,
75158,NET,IVa,
75159,DBH,IVb,
75160,NET,IVb,
75161,DBH,IVc,
75162,NET,IVc,
75163,DBH,IVc,
75164,NET,IVc,
75165,DBH,V,
75166,NET,V,
75167,DBH,VI,
75168,NET,VI,
75169,DBH,I,
75170,NET,I,
75171,DBH,II,
75172,NET,II,
75173,DBH,III,
75174,NET,III,
75175,DBH,IVa,
75176,NET,IVa,
75177,DBH,IVb,
75178,NET,IVb,
75179,DBH,IVc,
75180,NET,IVc,
75181,DBH,IVc,
75182,NET,IVc,
75183,DBH,V,
75184,NET,V,
75185,DBH,VI,
75186,NET,VI,
75187,DBH,I,
75188,NET,I,
75189,DBH,II,
75190,NET,II,
75191,DBH,III,
75192,NET,III,
75193,DBH,IVa,
75194,NET,IVa,
75195,DBH,IVb,
75196,NET,IVb,
75197,DBH,IVc,
75198,NET,IVc,
75199,DBH,IVc,
75200,NET,IVc,
75201,DBH,V,
75202,NET,V,
75203,DBH,VI,
75204,NET,VI,
75205,DBH,I,
75206,NET,I,
75207,DBH,II,
75208,NET,II,
75209,DBH,III,
75210,NET,III,
75211,DBH,IVa,
75212,NET,IVa,
75213,DBH,IVb,
75214,NET,IVb,
75215,DBH,IVc,
75216,NET,IVc,
75217,DBH,IVc,
75218,NET,IVc,
75219,DBH,V,
75220,NET,V,
75221,DBH,VI,
75222,NET,VI,
75223,DBH,I,
75224,NET,I,
75225,DBH,II,
75226,NET,II,
75227,DBH,III,
75228,NET,III,
75229,DBH,IVa,
75230,NET,IVa,
75231,DBH,IVb,
75232,NET,IVb,
75233,DBH,IVc,
75234,NET,IVc,
75235,DBH,IVc,
75236,NET,IVc,
75237,DBH,V,
75238,NET,V,
75239,DBH,VI,
75240,NET,VI,
75241,DBH,I,
75242,NET,I,
75243,DBH,II,
75244,NET,II,
75245,DBH,III,
75246,NET,III,
75247,DBH,IVa,
75248,NET,IVa,
75249,DBH,IVb,
75250,NET,IVb,
75251,DBH,IVc,
75252,NET,IVc,
75253,DBH,IVc,
75254,NET,IVc,
75255,DBH,V,
75256,NET,V,
75257,DBH,VI,
75258,NET,VI,
75259,DBH,I,
75260,NET,I,
75261,DBH,II,
75262,NET,II,
75263,DBH,III,
75264,NET,III,
75265,DBH,IVa,
75266,NET,IVa,
75267,DBH,IVb,
75268,NET,IVb,
75269,DBH,IVc,
75270,NET,IVc,
75271,DBH,IVc,
75272,NET,IVc,
75273,DBH,V,
75274,NET,V,
75275,DBH,VI,
75276,NET,VI,
75277,DBH,I,
75278,NET,I,
75279,DBH,II,
75280,NET,II,
75281,DBH,III,
75282,NET,III,
75283,DBH,IVa,
75284,NET,IVa,
75285,DBH,IVb,
75286,NET,IVb,
75287,DBH,IVc,
75288,NET,IVc,
75289,DBH,IVc,
75290,NET,IVc,
75291,DBH,V,
75292,NET,V,
75293,DBH,VI,
75294,NET,VI,
75295,DBH,I,
75296,NET,I,
75297,DBH,II,
75298,NET,II,
75299,DBH,III,
75300,NET,III,
75301,DBH,IVa,
75302,NET,IVa,
75303,DBH,IVb,
75304,NET,IVb,
75305,DBH,IVc,
75306,NET,IVc,
75307,DBH,IVc,
75308,NET,IVc,
75309,DBH,V,
75310,NET,V,
75311,DBH,VI,
75312,NET,VI,
75313,DBH,I,
75314,NET,I,
75315,DBH,II,
75316,NET,II,
75317,DBH,III,
75318,NET,III,
75319,DBH,IVa,
75320,NET,IVa,
75321,DBH,IVb,
75322,NET,IVb,
75323,DBH,IVc,
75324,NET,IVc,
75325,DBH,IVc,
75326,NET,IVc,
75327,DBH,V,
75328,NET,V,
75329,DBH,VI,
75330,NET,VI,
75331,DBH,I,
75332,NET,I,
75333,DBH,II,
75334,NET,II,
75335,DBH,III,
75336,NET,III,
75337,DBH,IVa,
75338,NET,IVa,
75339,DBH,IVb,
75340,NET,IVb,
75341,DBH,IVc,
75342,NET,IVc,
75343,DBH,IVc,
75344,NET,IVc,
75345,DBH,V,
75346,NET,V,
75347,DBH,VI,
75348,NET,VI,
75349,DBH,I,
75350,NET,I,
75351,DBH,II,
75352,NET,II,
75353,DBH,III,
75354,NET,III,
75355,DBH,IVa,
75356,NET,IVa,
75357,DBH,IVb,
75358,NET,IVb,
75359,DBH,IVc,
75360,NET,IVc,
75361,DBH,IVc,
75362,NET,IVc,
75363,DBH,V,
75364,NET,V,
75365,DBH,VI,
75366,NET,VI,
75367,DBH,I,
75368,NET,I,
75369,DBH,II,
75370,NET,II,
75371,DBH,III,
75372,NET,III,
75373,DBH,IVa,
75374,NET,IVa,
75375,DBH,IVb,
75376,NET,IVb,
75377,DBH,IVc,
75378,NET,IVc,
75379,DBH,IVc,
75380,NET,IVc,
75381,DBH,V,
75382,NET,V,
75383,DBH,VI,
75384,NET,VI,
75385,DBH,I,
75386,NET,I,
75387,DBH,II,
75388,NET,II,
75389,DBH,III,
75390,NET,III,
75391,DBH,IVa,
75392,NET,IVa,
75393,DBH,IVb,
75394,NET,IVb,
75395,DBH,IVc,
75396,NET,IVc,
75397,DBH,IVc,
75398,NET,IVc,
75399,DBH,V,
75400,NET,V,
75401,DBH,VI,
75402,NET,VI,
75403,DBH,I,
75404,NET,I,
75405,DBH,II,
75406,NET,II,
75407,DBH,III,
75408,NET,III,
75409,DBH,IVa,
75410,NET,IVa,
75411,DBH,IVb,
75412,NET,IVb,
75413,DBH,IVc,
75414,NET,IVc,
75415,DBH,IVc,
75416,NET,IVc,
75417,DBH,V,
75418,NET,V,
75419,DBH,VI,
75420,NET,VI,
75421,DBH,I,
75422,NET,I,
75423,DBH,II,
75424,NET,II,
75425,DBH,III,
75426,NET,III,
75427,DBH,IVa,
75428,NET,IVa,
75429,DBH,IVb,
75430,NET,IVb,
75431,DBH,IVc,
75432,NET,IVc,
75433,DBH,IVc,
75434,NET,IVc,
75435,DBH,V,
75436,NET,V,
75437,DBH,VI,
75438,NET,VI,
75439,DBH,I,
75440,NET,I,
75441,DBH,II,
75442,NET,II,
75443,DBH,III,
75444,NET,III,
75445,DBH,IVa,
75446,NET,IVa,
75447,DBH,IVb,
75448,NET,IVb,
75449,DBH,IVc,
75450,NET,IVc,
75451,DBH,IVc,
75452,NET,IVc,
75453,DBH,V,
75454,NET,V,
75455,DBH,VI,
75456,NET,VI,
75457,DBH,I,
75458,NET,I,
75459,DBH,II,
75460,NET,II,
75461,DBH,III,
75462,NET,III,
75463,DBH,IVa,
75464,NET,IVa,
75465,DBH,IVb,
75466,NET,IVb,
75467,DBH,IVc,
75468,NET,IVc,
75469,DBH,IVc,
75470,NET,IVc,
75471,DBH,V,
75472,NET,V,
75473,DBH,VI,
75474,NET,VI,
75475,DBH,I,
75476,NET,I,
75477,DBH,II,
75478,NET,II,
75479,DBH,III,
75480,NET,III,
75481,DBH,IVa,
75482,NET,IVa,
75483,DBH,IVb,
75484,NET,IVb,
75485,DBH,IVc,
75486,NET,IVc,
75487,DBH,IVc,
75488,NET,IVc,
75489,DBH,V,
75490,NET,V,
75491,DBH,VI,
75492,NET,VI,
75493,DBH,I,
75494,NET,I,
75495,DBH,II,
75496,NET,II,
75497,DBH,III,
75498,NET,III,
75499,DBH,IVa,
75500,NET,IVa,
75501,DBH,IVb,
75502,NET,IVb,
75503,DBH,IVc,
75504,NET,IVc,
75505,DBH,IVc,
75506,NET,IVc,
75507,DBH,V,
75508,NET,V,
75509,DBH,VI,
75510,NET,VI,
75511,DBH,I,
75512,NET,I,
75513,DBH,II,
75514,NET,II,
75515,DBH,III,
75516,NET,III,
75517,DBH,IVa,
75518,NET,IVa,
75519,DBH,IVb,
75520,NET,IVb,
75521,DBH,IVc,
75522,NET,IVc,
75523,DBH,IVc,
75524,NET,IVc,
75525,DBH,V,
75526,NET,V,
75527,DBH,VI,
75528,NET,VI,
75529,DBH,I,
75530,NET,I,
75531,DBH,II,
75532,NET,II,
75533,DBH,III,
75534,NET,III,
75535,DBH,IVa,
75536,NET,IVa,
