,area,protein,layer,value
34408,V2,NET,II,
34409,V1,NET,III,
34410,V2,NET,III,
34411,V1,NET,IV,
34412,V2,NET,IV,
34413,V1,NET,V,
34414,V2,NET,V,
34415,V1,NET,VI,
34416,V2,NET,VI,
34417,V1,NET,I,
34418,V2,NET,I,
34419,V1,NET,II,
34420,V2,NET,II,
34421,V1,NET,III,
34422,V2,NET,III,
34423,V1,NET,IV,
34424,V2,NET,IV,
34425,V1,NET,V,
34426,V2,NET,V,
34427,V1,NET,VI,
34428,V2,NET,VI,
34429,V1,NET,I,
34430,V2,NET,I,
34431,V1,NET,II,
34432,V2,NET,II,
34433,V1,NET,III,
34434,V2,NET,III,
34435,V1,NET,IV,
34436,V2,NET,IV,
34437,V1,NET,V,
34438,V2,NET,V,
34439,V1,NET,VI,
34440,V2,NET,VI,
34441,V1,NET,I,
34442,V2,NET,I,
34443,V1,NET,II,
34444,V2,NET,II,
34445,V1,NET,III,
34446,V2,NET,III,
34447,V1,NET,IV,
34448,V2,NET,IV,
34449,V1,NET,V,
34450,V2,NET,V,
34451,V1,NET,VI,
34452,V2,NET,VI,
34453,V1,NET,I,
34454,V2,NET,I,
34455,V1,NET,II,
34456,V2,NET,II,
34457,V1,NET,III,
34458,V2,NET,III,
34459,V1,NET,IV,
34460,V2,NET,IV,
34461,V1,NET,V,
34462,V2,NET,V,
34463,V1,NET,VI,
34464,V2,NET,VI,
34465,V1,NET,I,
34466,V2,NET,I,
34467,V1,NET,II,
34468,V2,NET,II,
34469,V1,NET,III,
34470,V2,NET,III,
34471,V1,NET,IV,
34472,V2,NET,IV,
34473,V1,NET,V,
34474,V2,NET,V,
34475,V1,NET,VI,
34476,V2,NET,VI,
34477,V1,NET,I,
34478,V2,NET,I,
34479,V1,NET,II,
34480,V2,NET,II,
34481,V1,NET,III,
34482,V2,NET,III,
34483,V1,NET,IV,
34484,V2,NET,IV,
34485,V1,NET,V,
34486,V2,NET,V,
34487,V1,NET,VI,
34488,V2,NET,VI,
34489,V1,NET,I,
34490,V2,NET,I,
34491,V1,NET,II,
34492,V2,NET,II,
34493,V1,NET,III,
34494,V2,NET,III,
34495,V1,NET,IV,
34496,V2,NET,IV,
34497,V1,NET,V,
34498,V2,NET,V,
34499,V1,NET,VI,
34500,V2,NET,VI,
34501,V1,NET,I,
34502,V2,NET,I,
34503,V1,NET,II,
34504,V2,NET,II,
34505,V1,NET,III,
34506,V2,NET,III,
34507,V1,NET,IV,
34508,V2,NET,IV,
34509,V1,NET,V,
34510,V2,NET,V,
34511,V1,NET,VI,
34512,V2,NET,VI,
34513,V1,NET,I,
34514,V2,NET,I,
34515,V1,NET,II,
34516,V2,NET,II,
34517,V1,NET,III,
34518,V2,NET,III,
34519,V1,NET,IV,
34520,V2,NET,IV,
34521,V1,NET,V,
34522,V2,NET,V,
34523,V1,NET,VI,
34524,V2,NET,VI,
34525,V1,NET,I,
34526,V2,NET,I,
34527,V1,NET,II,
34528,V2,NET,II,
34529,V1,NET,III,
34530,V2,NET,III,
34531,V1,NET,IV,
34532,V2,NET,IV,
34533,V1,NET,V,
34534,V2,NET,V,
34535,V1,NET,VI,
34536,V2,NET,VI,
34537,V1,NET,I,
34538,V2,NET,I,
34539,V1,NET,II,
34540,V2,NET,II,
34541,V1,NET,III,
34542,V2,NET,III,
34543,V1,NET,IV,
34544,V2,NET,IV,
34545,V1,NET,V,
34546,V2,NET,V,
34547,V1,NET,VI,
34548,V2,NET,VI,
34549,V1,NET,I,
34550,V2,NET,I,
34551,V1,NET,II,
34552,V2,NET,II,
34553,V1,NET,III,
34554,V2,NET,III,
34555,V1,NET,IV,
34556,V2,NET,IV,
34557,V1,NET,V,
34558,V2,NET,V,
34559,V1,NET,VI,
34560,V2,NET,VI,
34561,V1,NET,I,
34562,V2,NET,I,
34563,V1,NET,II,
34564,V2,NET,II,
34565,V1,NET,III,
34566,V2,NET,III,
34567,V1,NET,IV,
34568,V2,NET,IV,
34569,V1,NET,V,
34570,V2,NET,V,
34571,V1,NET,VI,
34572,V2,NET,VI,
34573,V1,NET,I,
34574,V2,NET,I,
34575,V1,NET,II,
34576,V2,NET,II,
34577,V1,NET,III,
34578,V2,NET,III,
34579,V1,NET,IV,
34580,V2,NET,IV,
34581,V1,NET,V,
34582,V2,NET,V,
34583,V1,NET,VI,
34584,V2,NET,VI,
34585,V1,NET,I,
34586,V2,NET,I,
34587,V1,NET,II,
34588,V2,NET,II,
34589,V1,NET,III,
34590,V2,NET,III,
34591,V1,NET,IV,
34592,V2,NET,IV,
34593,V1,NET,V,
34594,V2,NET,V,
34595,V1,NET,VI,
34596,V2,NET,VI,
34597,V1,NET,I,
34598,V2,NET,I,
34599,V1,NET,II,
34600,V2,NET,II,
34601,V1,NET,III,
34602,V2,NET,III,
34603,V1,NET,IV,
34604,V2,NET,IV,
34605,V1,NET,V,
34606,V2,NET,V,
34607,V1,NET,VI,
34608,V2,NET,VI,
34609,V1,NET,I,
34610,V2,NET,I,
34611,V1,NET,II,
34612,V2,NET,II,
34613,V1,NET,III,
34614,V2,NET,III,
34615,V1,NET,IV,
34616,V2,NET,IV,
34617,V1,NET,V,
34618,V2,NET,V,
34619,V1,NET,VI,
34620,V2,NET,VI,
34621,V1,NET,I,
34622,V2,NET,I,
34623,V1,NET,II,
34624,V2,NET,II,
34625,V1,NET,III,
34626,V2,NET,III,
34627,V1,NET,IV,
34628,V2,NET,IV,
34629,V1,NET,V,
34630,V2,NET,V,
34631,V1,NET,VI,
34632,V2,NET,VI,
34633,V1,NET,I,
34634,V2,NET,I,
34635,V1,NET,II,
34636,V2,NET,II,
34637,V1,NET,III,
34638,V2,NET,III,
34639,V1,NET,IV,
34640,V2,NET,IV,
34641,V1,NET,V,
34642,V2,NET,V,
34643,V1,NET,VI,
34644,V2,NET,VI,
34645,V1,NET,I,
34646,V2,NET,I,
34647,V1,NET,II,
34648,V2,NET,II,
34649,V1,NET,III,
34650,V2,NET,III,
34651,V1,NET,IV,
34652,V2,NET,IV,
34653,V1,NET,V,
34654,V2,NET,V,
34655,V1,NET,VI,
34656,V2,NET,VI,
34657,V1,NET,I,
34658,V2,NET,I,
34659,V1,NET,II,
34660,V2,NET,II,
34661,V1,NET,III,
34662,V2,NET,III,
34663,V1,NET,IV,
34664,V2,NET,IV,
34665,V1,NET,V,
34666,V2,NET,V,
34667,V1,NET,VI,
34668,V2,NET,VI,
34669,V1,NET,I,
34670,V2,NET,I,
34671,V1,NET,II,
34672,V2,NET,II,
34673,V1,NET,III,
34674,V2,NET,III,
34675,V1,NET,IV,
34676,V2,NET,IV,
34677,V1,NET,V,
34678,V2,NET,V,
34679,V1,NET,VI,
34680,V2,NET,VI,
34681,V1,NET,I,
34682,V2,NET,I,
34683,V1,NET,II,
34684,V2,NET,II,
34685,V1,NET,III,
34686,V2,NET,III,
34687,V1,NET,IV,
34688,V2,NET,IV,
34689,V1,NET,V,
34690,V2,NET,V,
34691,V1,NET,VI,
34692,V2,NET,VI,
34693,V1,NET,I,
34694,V2,NET,I,
34695,V1,NET,II,
34696,V2,NET,II,
34697,V1,NET,III,
34698,V2,NET,III,
34699,V1,NET,IV,
34700,V2,NET,IV,
34701,V1,NET,V,
34702,V2,NET,V,
34703,V1,NET,VI,
34704,V2,NET,VI,
34705,V1,NET,I,
34706,V2,NET,I,
34707,V1,NET,II,
34708,V2,NET,II,
34709,V1,NET,III,
34710,V2,NET,III,
34711,V1,NET,IV,
34712,V2,NET,IV,
34713,V1,NET,V,
34714,V2,NET,V,
34715,V1,NET,VI,
34716,V2,NET,VI,
34717,V1,NET,I,
34718,V2,NET,I,
34719,V1,NET,II,
34720,V2,NET,II,
34721,V1,NET,III,
34722,V2,NET,III,
34723,V1,NET,IV,
34724,V2,NET,IV,
34725,V1,NET,V,
34726,V2,NET,V,
34727,V1,NET,VI,
34728,V2,NET,VI,
34729,V1,NET,I,
34730,V2,NET,I,
34731,V1,NET,II,
34732,V2,NET,II,
34733,V1,NET,III,
34734,V2,NET,III,
34735,V1,NET,IV,
34736,V2,NET,IV,
34737,V1,NET,V,
34738,V2,NET,V,
34739,V1,NET,VI,
34740,V2,NET,VI,
34741,V1,NET,I,
34742,V2,NET,I,
34743,V1,NET,II,
34744,V2,NET,II,
34745,V1,NET,III,
34746,V2,NET,III,
34747,V1,NET,IV,
34748,V2,NET,IV,
34749,V1,NET,V,
34750,V2,NET,V,
34751,V1,NET,VI,
34752,V2,NET,VI,
34753,V1,NET,I,
34754,V2,NET,I,
34755,V1,NET,II,
34756,V2,NET,II,
34757,V1,NET,III,
34758,V2,NET,III,
34759,V1,NET,IV,
34760,V2,NET,IV,
34761,V1,NET,V,
34762,V2,NET,V,
34763,V1,NET,VI,
34764,V2,NET,VI,
34765,V1,NET,I,
34766,V2,NET,I,
34767,V1,NET,II,
34768,V2,NET,II,
34769,V1,NET,III,
34770,V2,NET,III,
34771,V1,NET,IV,
34772,V2,NET,IV,
34773,V1,NET,V,
34774,V2,NET,V,
34775,V1,NET,VI,
34776,V2,NET,VI,
34777,V1,NET,I,
34778,V2,NET,I,
34779,V1,NET,II,
34780,V2,NET,II,
34781,V1,NET,III,
34782,V2,NET,III,
34783,V1,NET,IV,
34784,V2,NET,IV,
34785,V1,NET,V,
34786,V2,NET,V,
34787,V1,NET,VI,
34788,V2,NET,VI,
34789,V1,NET,I,
34790,V2,NET,I,
34791,V1,NET,II,
34792,V2,NET,II,
34793,V1,NET,III,
34794,V2,NET,III,
34795,V1,NET,IV,
34796,V2,NET,IV,
34797,V1,NET,V,
34798,V2,NET,V,
34799,V1,NET,VI,
34800,V2,NET,VI,
34801,V1,NET,I,
34802,V2,NET,I,
34803,V1,NET,II,
34804,V2,NET,II,
34805,V1,NET,III,
34806,V2,NET,III,
34807,V1,NET,IV,
34808,V2,NET,IV,
34809,V1,NET,V,
34810,V2,NET,V,
34811,V1,NET,VI,
34812,V2,NET,VI,
34813,V1,NET,I,
34814,V2,NET,I,
34815,V1,NET,II,
34816,V2,NET,II,
34817,V1,NET,III,
34818,V2,NET,III,
34819,V1,NET,IV,
34820,V2,NET,IV,
34821,V1,NET,V,
34822,V2,NET,V,
34823,V1,NET,VI,
34824,V2,NET,VI,
34825,V1,NET,I,
34826,V2,NET,I,
34827,V1,NET,II,
34828,V2,NET,II,
34829,V1,NET,III,
34830,V2,NET,III,
34831,V1,NET,IV,
34832,V2,NET,IV,
34833,V1,NET,V,
34834,V2,NET,V,
34835,V1,NET,VI,
34836,V2,NET,VI,
34837,V1,NET,I,
34838,V2,NET,I,
34839,V1,NET,II,
34840,V2,NET,II,
34841,V1,NET,III,
34842,V2,NET,III,
34843,V1,NET,IV,
34844,V2,NET,IV,
34845,V1,NET,V,
34846,V2,NET,V,
34847,V1,NET,VI,
34848,V2,NET,VI,
34849,V1,NET,I,
34850,V2,NET,I,
34851,V1,NET,II,
34852,V2,NET,II,
34853,V1,NET,III,
34854,V2,NET,III,
34855,V1,NET,IV,
34856,V2,NET,IV,
34857,V1,NET,V,
34858,V2,NET,V,
34859,V1,NET,VI,
34860,V2,NET,VI,
34861,V1,NET,I,
34862,V2,NET,I,
34863,V1,NET,II,
34864,V2,NET,II,
34865,V1,NET,III,
34866,V2,NET,III,
34867,V1,NET,IV,
34868,V2,NET,IV,
34869,V1,NET,V,
34870,V2,NET,V,
34871,V1,NET,VI,
34872,V2,NET,VI,
34873,V1,NET,I,
34874,V2,NET,I,
34875,V1,NET,II,
34876,V2,NET,II,
34877,V1,NET,III,
34878,V2,NET,III,
34879,V1,NET,IV,
34880,V2,NET,IV,
34881,V1,NET,V,
34882,V2,NET,V,
34883,V1,NET,VI,
34884,V2,NET,VI,
34885,V1,NET,I,
34886,V2,NET,I,
34887,V1,NET,II,
34888,V2,NET,II,
34889,V1,NET,III,
34890,V2,NET,III,
34891,V1,NET,IV,
34892,V2,NET,IV,
34893,V1,NET,V,
34894,V2,NET,V,
34895,V1,NET,VI,
34896,V2,NET,VI,
34897,V1,NET,I,
34898,V2,NET,I,
34899,V1,NET,II,
34900,V2,NET,II,
34901,V1,NET,III,
34902,V2,NET,III,
34903,V1,NET,IV,
34904,V2,NET,IV,
34905,V1,NET,V,
34906,V2,NET,V,
34907,V1,NET,VI,
34908,V2,NET,VI,
34909,V1,NET,I,
34910,V2,NET,I,
34911,V1,NET,II,
34912,V2,NET,II,
34913,V1,NET,III,
34914,V2,NET,III,
34915,V1,NET,IV,
34916,V2,NET,IV,
34917,V1,NET,V,
34918,V2,NET,V,
34919,V1,NET,VI,
34920,V2,NET,VI,
34921,V1,NET,I,
34922,V2,NET,I,
34923,V1,NET,II,
34924,V2,NET,II,
34925,V1,NET,III,
34926,V2,NET,III,
34927,V1,NET,IV,
34928,V2,NET,IV,
34929,V1,NET,V,
34930,V2,NET,V,
34931,V1,NET,VI,
34932,V2,NET,VI,
34933,V1,NET,I,
34934,V2,NET,I,
34935,V1,NET,II,
34936,V2,NET,II,
34937,V1,NET,III,
34938,V2,NET,III,
34939,V1,NET,IV,
34940,V2,NET,IV,
34941,V1,NET,V,
34942,V2,NET,V,
34943,V1,NET,VI,
34944,V2,NET,VI,
34945,V1,NET,I,
34946,V2,NET,I,
34947,V1,NET,II,
34948,V2,NET,II,
34949,V1,NET,III,
34950,V2,NET,III,
34951,V1,NET,IV,
34952,V2,NET,IV,
34953,V1,NET,V,
34954,V2,NET,V,
34955,V1,NET,VI,
34956,V2,NET,VI,
34957,V1,NET,I,
34958,V2,NET,I,
34959,V1,NET,II,
34960,V2,NET,II,
34961,V1,NET,III,
34962,V2,NET,III,
34963,V1,NET,IV,
34964,V2,NET,IV,
34965,V1,NET,V,
34966,V2,NET,V,
34967,V1,NET,VI,
34968,V2,NET,VI,
34969,V1,NET,I,
34970,V2,NET,I,
34971,V1,NET,II,
34972,V2,NET,II,
34973,V1,NET,III,
34974,V2,NET,III,
34975,V1,NET,IV,
34976,V2,NET,IV,
34977,V1,NET,V,
34978,V2,NET,V,
34979,V1,NET,VI,
34980,V2,NET,VI,
34981,V1,NET,I,
34982,V2,NET,I,
34983,V1,NET,II,
34984,V2,NET,II,
34985,V1,NET,III,
34986,V2,NET,III,
34987,V1,NET,IV,
34988,V2,NET,IV,
34989,V1,NET,V,
34990,V2,NET,V,
34991,V1,NET,VI,
34992,V2,NET,VI,
34993,V1,NET,I,
34994,V2,NET,I,
34995,V1,NET,II,
34996,V2,NET,II,
34997,V1,NET,III,
34998,V2,NET,III,
34999,V1,NET,IV,
35000,V2,NET,IV,
35001,V1,NET,V,
35002,V2,NET,V,
35003,V1,NET,VI,
35004,V2,NET,VI,
35005,V1,NET,I,
35006,V2,NET,I,
35007,V1,NET,II,
35008,V2,NET,II,
35009,V1,NET,III,
35010,V2,NET,III,
35011,V1,NET,IV,
35012,V2,NET,IV,
35013,V1,NET,V,
35014,V2,NET,V,
35015,V1,NET,VI,
35016,V2,NET,VI,
35017,V1,NET,I,
35018,V2,NET,I,
35019,V1,NET,II,
35020,V2,NET,II,
35021,V1,NET,III,
35022,V2,NET,III,
35023,V1,NET,IV,
35024,V2,NET,IV,
35025,V1,NET,V,
35026,V2,NET,V,
35027,V1,NET,VI,
35028,V2,NET,VI,
35029,V1,NET,I,
35030,V2,NET,I,
35031,V1,NET,II,
35032,V2,NET,II,
35033,V1,NET,III,
35034,V2,NET,III,
35035,V1,NET,IV,
35036,V2,NET,IV,
35037,V1,NET,V,
35038,V2,NET,V,
35039,V1,NET,VI,
35040,V2,NET,VI,
35041,V1,NET,I,
35042,V2,NET,I,
35043,V1,NET,II,
35044,V2,NET,II,
35045,V1,NET,III,
35046,V2,NET,III,
35047,V1,NET,IV,
35048,V2,NET,IV,
35049,V1,NET,V,
35050,V2,NET,V,
35051,V1,NET,VI,
35052,V2,NET,VI,
35053,V1,NET,I,
35054,V2,NET,I,
35055,V1,NET,II,
35056,V2,NET,II,
35057,V1,NET,III,
35058,V2,NET,III,
35059,V1,NET,IV,
35060,V2,NET,IV,
35061,V1,NET,V,
35062,V2,NET,V,
35063,V1,NET,VI,
35064,V2,NET,VI,
35065,V1,NET,I,
35066,V2,NET,I,
35067,V1,NET,II,
35068,V2,NET,II,
35069,V1,NET,III,
35070,V2,NET,III,
35071,V1,NET,IV,
35072,V2,NET,IV,
35073,V1,NET,V,
35074,V2,NET,V,
35075,V1,NET,VI,
35076,V2,NET,VI,
35077,V1,NET,I,
35078,V2,NET,I,
35079,V1,NET,II,
35080,V2,NET,II,
35081,V1,NET,III,
35082,V2,NET,III,
35083,V1,NET,IV,
35084,V2,NET,IV,
35085,V1,NET,V,
35086,V2,NET,V,
35087,V1,NET,VI,
35088,V2,NET,VI,
35089,V1,NET,I,
35090,V2,NET,I,
35091,V1,NET,II,
35092,V2,NET,II,
35093,V1,NET,III,
35094,V2,NET,III,
35095,V1,NET,IV,
35096,V2,NET,IV,
35097,V1,NET,V,
35098,V2,NET,V,
35099,V1,NET,VI,
35100,V2,NET,VI,
35101,V1,NET,I,
35102,V2,NET,I,
35103,V1,NET,II,
35104,V2,NET,II,
35105,V1,NET,III,
35106,V2,NET,III,
35107,V1,NET,IV,
35108,V2,NET,IV,
35109,V1,NET,V,
35110,V2,NET,V,
35111,V1,NET,VI,
35112,V2,NET,VI,
35113,V1,NET,I,
35114,V2,NET,I,
35115,V1,NET,II,
35116,V2,NET,II,
35117,V1,NET,III,
35118,V2,NET,III,
35119,V1,NET,IV,
35120,V2,NET,IV,
35121,V1,NET,V,
35122,V2,NET,V,
35123,V1,NET,VI,
35124,V2,NET,VI,
35125,V1,NET,I,
35126,V2,NET,I,
35127,V1,NET,II,
35128,V2,NET,II,
35129,V1,NET,III,
35130,V2,NET,III,
35131,V1,NET,IV,
35132,V2,NET,IV,
35133,V1,NET,V,
35134,V2,NET,V,
35135,V1,NET,VI,
35136,V2,NET,VI,
35137,V1,NET,I,
35138,V2,NET,I,
35139,V1,NET,II,
35140,V2,NET,II,
35141,V1,NET,III,
35142,V2,NET,III,
35143,V1,NET,IV,
35144,V2,NET,IV,
35145,V1,NET,V,
35146,V2,NET,V,
35147,V1,NET,VI,
35148,V2,NET,VI,
35149,V1,NET,I,
35150,V2,NET,I,
35151,V1,NET,II,
35152,V2,NET,II,
35153,V1,NET,III,
35154,V2,NET,III,
35155,V1,NET,IV,
35156,V2,NET,IV,
35157,V1,NET,V,
35158,V2,NET,V,
35159,V1,NET,VI,
35160,V2,NET,VI,
35161,V1,NET,I,
35162,V2,NET,I,
35163,V1,NET,II,
35164,V2,NET,II,
35165,V1,NET,III,
35166,V2,NET,III,
35167,V1,NET,IV,
35168,V2,NET,IV,
35169,V1,NET,V,
35170,V2,NET,V,
35171,V1,NET,VI,
35172,V2,NET,VI,
35173,V1,NET,I,
35174,V2,NET,I,
35175,V1,NET,II,
35176,V2,NET,II,
35177,V1,NET,III,
35178,V2,NET,III,
35179,V1,NET,IV,
35180,V2,NET,IV,
35181,V1,NET,V,
35182,V2,NET,V,
35183,V1,NET,VI,
35184,V2,NET,VI,
35185,V1,NET,I,
35186,V2,NET,I,
35187,V1,NET,II,
35188,V2,NET,II,
35189,V1,NET,III,
35190,V2,NET,III,
35191,V1,NET,IV,
35192,V2,NET,IV,
35193,V1,NET,V,
35194,V2,NET,V,
35195,V1,NET,VI,
35196,V2,NET,VI,
35197,V1,NET,I,
35198,V2,NET,I,
35199,V1,NET,II,
35200,V2,NET,II,
35201,V1,NET,III,
35202,V2,NET,III,
35203,V1,NET,IV,
35204,V2,NET,IV,
35205,V1,NET,V,
35206,V2,NET,V,
35207,V1,NET,VI,
35208,V2,NET,VI,
35209,V1,NET,I,
35210,V2,NET,I,
35211,V1,NET,II,
35212,V2,NET,II,
35213,V1,NET,III,
35214,V2,NET,III,
35215,V1,NET,IV,
35216,V2,NET,IV,
35217,V1,NET,V,
35218,V2,NET,V,
35219,V1,NET,VI,
35220,V2,NET,VI,
35221,V1,NET,I,
35222,V2,NET,I,
35223,V1,NET,II,
35224,V2,NET,II,
35225,V1,NET,III,
35226,V2,NET,III,
35227,V1,NET,IV,
35228,V2,NET,IV,
35229,V1,NET,V,
35230,V2,NET,V,
35231,V1,NET,VI,
35232,V2,NET,VI,
35233,V1,NET,I,
35234,V2,NET,I,
35235,V1,NET,II,
35236,V2,NET,II,
35237,V1,NET,III,
35238,V2,NET,III,
35239,V1,NET,IV,
35240,V2,NET,IV,
35241,V1,NET,V,
35242,V2,NET,V,
35243,V1,NET,VI,
35244,V2,NET,VI,
35245,V1,NET,I,
35246,V2,NET,I,
35247,V1,NET,II,
35248,V2,NET,II,
35249,V1,NET,III,
35250,V2,NET,III,
35251,V1,NET,IV,
35252,V2,NET,IV,
35253,V1,NET,V,
35254,V2,NET,V,
35255,V1,NET,VI,
35256,V2,NET,VI,
35257,V1,NET,I,
35258,V2,NET,I,
35259,V1,NET,II,
35260,V2,NET,II,
35261,V1,NET,III,
35262,V2,NET,III,
35263,V1,NET,IV,
35264,V2,NET,IV,
35265,V1,NET,V,
35266,V2,NET,V,
35267,V1,NET,VI,
35268,V2,NET,VI,
35269,V1,NET,I,
35270,V2,NET,I,
35271,V1,NET,II,
35272,V2,NET,II,
35273,V1,NET,III,
35274,V2,NET,III,
35275,V1,NET,IV,
35276,V2,NET,IV,
35277,V1,NET,V,
35278,V2,NET,V,
35279,V1,NET,VI,
35280,V2,NET,VI,
35281,V1,NET,I,
35282,V2,NET,I,
35283,V1,NET,II,
35284,V2,NET,II,
35285,V1,NET,III,
35286,V2,NET,III,
35287,V1,NET,IV,
35288,V2,NET,IV,
35289,V1,NET,V,
35290,V2,NET,V,
35291,V1,NET,VI,
35292,V2,NET,VI,
35293,V1,NET,I,
35294,V2,NET,I,
35295,V1,NET,II,
35296,V2,NET,II,
35297,V1,NET,III,
35298,V2,NET,III,
35299,V1,NET,IV,
35300,V2,NET,IV,
35301,V1,NET,V,
35302,V2,NET,V,
35303,V1,NET,VI,
35304,V2,NET,VI,
35305,V1,NET,I,
35306,V2,NET,I,
35307,V1,NET,II,
35308,V2,NET,II,
35309,V1,NET,III,
35310,V2,NET,III,
35311,V1,NET,IV,
35312,V2,NET,IV,
35313,V1,NET,V,
35314,V2,NET,V,
35315,V1,NET,VI,
35316,V2,NET,VI,
35317,V1,NET,I,
35318,V2,NET,I,
35319,V1,NET,II,
35320,V2,NET,II,
35321,V1,NET,III,
35322,V2,NET,III,
35323,V1,NET,IV,
35324,V2,NET,IV,
35325,V1,NET,V,
35326,V2,NET,V,
35327,V1,NET,VI,
35328,V2,NET,VI,
35329,V1,NET,I,
35330,V2,NET,I,
35331,V1,NET,II,
35332,V2,NET,II,
35333,V1,NET,III,
35334,V2,NET,III,
35335,V1,NET,IV,
35336,V2,NET,IV,
35337,V1,NET,V,
35338,V2,NET,V,
35339,V1,NET,VI,
35340,V2,NET,VI,
35341,V1,NET,I,
35342,V2,NET,I,
35343,V1,NET,II,
35344,V2,NET,II,
35345,V1,NET,III,
35346,V2,NET,III,
35347,V1,NET,IV,
35348,V2,NET,IV,
35349,V1,NET,V,
35350,V2,NET,V,
35351,V1,NET,VI,
35352,V2,NET,VI,
35353,V1,NET,I,
35354,V2,NET,I,
35355,V1,NET,II,
35356,V2,NET,II,
35357,V1,NET,III,
35358,V2,NET,III,
35359,V1,NET,IV,
35360,V2,NET,IV,
35361,V1,NET,V,
35362,V2,NET,V,
35363,V1,NET,VI,
35364,V2,NET,VI,
35365,V1,NET,I,
35366,V2,NET,I,
35367,V1,NET,II,
35368,V2,NET,II,
35369,V1,NET,III,
35370,V2,NET,III,
35371,V1,NET,IV,
35372,V2,NET,IV,
35373,V1,NET,V,
35374,V2,NET,V,
35375,V1,NET,VI,
35376,V2,NET,VI,
35377,V1,NET,I,
35378,V2,NET,I,
35379,V1,NET,II,
35380,V2,NET,II,
35381,V1,NET,III,
35382,V2,NET,III,
35383,V1,NET,IV,
35384,V2,NET,IV,
35385,V1,NET,V,
35386,V2,NET,V,
35387,V1,NET,VI,
35388,V2,NET,VI,
35389,V1,NET,I,
35390,V2,NET,I,
35391,V1,NET,II,
35392,V2,NET,II,
35393,V1,NET,III,
35394,V2,NET,III,
35395,V1,NET,IV,
35396,V2,NET,IV,
35397,V1,NET,V,
35398,V2,NET,V,
35399,V1,NET,VI,
35400,V2,NET,VI,
35401,V1,NET,I,
35402,V2,NET,I,
35403,V1,NET,II,
35404,V2,NET,II,
35405,V1,NET,III,
35406,V2,NET,III,
35407,V1,NET,IV,
35408,V2,NET,IV,
35409,V1,NET,V,
35410,V2,NET,V,
35411,V1,NET,VI,
35412,V2,NET,VI,
35413,V1,NET,I,
35414,V2,NET,I,
35415,V1,NET,II,
35416,V2,NET,II,
35417,V1,NET,III,
35418,V2,NET,III,
35419,V1,NET,IV,
35420,V2,NET,IV,
35421,V1,NET,V,
35422,V2,NET,V,
35423,V1,NET,VI,
35424,V2,NET,VI,
35425,V1,NET,I,
35426,V2,NET,I,
35427,V1,NET,II,
35428,V2,NET,II,
35429,V1,NET,III,
35430,V2,NET,III,
35431,V1,NET,IV,
35432,V2,NET,IV,
35433,V1,NET,V,
35434,V2,NET,V,
35435,V1,NET,VI,
35436,V2,NET,VI,
35437,V1,NET,I,
35438,V2,NET,I,
35439,V1,NET,II,
35440,V2,NET,II,
35441,V1,NET,III,
35442,V2,NET,III,
35443,V1,NET,IV,
35444,V2,NET,IV,
35445,V1,NET,V,
35446,V2,NET,V,
35447,V1,NET,VI,
35448,V2,NET,VI,
35449,V1,NET,I,
35450,V2,NET,I,
35451,V1,NET,II,
35452,V2,NET,II,
35453,V1,NET,III,
35454,V2,NET,III,
35455,V1,NET,IV,
35456,V2,NET,IV,
35457,V1,NET,V,
35458,V2,NET,V,
35459,V1,NET,VI,
35460,V2,NET,VI,
35461,V1,NET,I,
35462,V2,NET,I,
35463,V1,NET,II,
35464,V2,NET,II,
35465,V1,NET,III,
35466,V2,NET,III,
35467,V1,NET,IV,
35468,V2,NET,IV,
35469,V1,NET,V,
35470,V2,NET,V,
35471,V1,NET,VI,
35472,V2,NET,VI,
35473,V1,NET,I,
35474,V2,NET,I,
35475,V1,NET,II,
35476,V2,NET,II,
35477,V1,NET,III,
35478,V2,NET,III,
35479,V1,NET,IV,
35480,V2,NET,IV,
35481,V1,NET,V,
35482,V2,NET,V,
35483,V1,NET,VI,
35484,V2,NET,VI,
35485,V1,NET,I,
35486,V2,NET,I,
35487,V1,NET,II,
35488,V2,NET,II,
35489,V1,NET,III,
35490,V2,NET,III,
35491,V1,NET,IV,
35492,V2,NET,IV,
35493,V1,NET,V,
35494,V2,NET,V,
35495,V1,NET,VI,
35496,V2,NET,VI,
35497,V1,NET,I,
35498,V2,NET,I,
35499,V1,NET,II,
35500,V2,NET,II,
35501,V1,NET,III,
35502,V2,NET,III,
35503,V1,NET,IV,
35504,V2,NET,IV,
35505,V1,NET,V,
35506,V2,NET,V,
35507,V1,NET,VI,
35508,V2,NET,VI,
35509,V1,NET,I,
35510,V2,NET,I,
35511,V1,NET,II,
35512,V2,NET,II,
35513,V1,NET,III,
35514,V2,NET,III,
35515,V1,NET,IV,
35516,V2,NET,IV,
35517,V1,NET,V,
35518,V2,NET,V,
35519,V1,NET,VI,
35520,V2,NET,VI,
35521,V1,NET,I,
35522,V2,NET,I,
35523,V1,NET,II,
35524,V2,NET,II,
35525,V1,NET,III,
35526,V2,NET,III,
35527,V1,NET,IV,
35528,V2,NET,IV,
35529,V1,NET,V,
35530,V2,NET,V,
35531,V1,NET,VI,
35532,V2,NET,VI,
35533,V1,NET,I,
35534,V2,NET,I,
35535,V1,NET,II,
35536,V2,NET,II,
35537,V1,NET,III,
35538,V2,NET,III,
35539,V1,NET,IV,
35540,V2,NET,IV,
35541,V1,NET,V,
